Unnamed: 1,name,birth_year,death_year
associatedWith,"Johnson, Merle De Vore",1874,1935
associatedWith,"Johnson, Robert Underwood",1853,1937
associatedWith,"Johnson, Rossiter",1840,1931
associatedWith,"Johnston, Joseph E. (Joseph Eggleston)",1807,1891
associatedWith,"Jordan, Elizabeth Garver",1867,1947
associatedWith,"Kay, Ulysses",1917,1995
associatedWith,"Keller, Helen",1880,1968
associatedWith,"Kemble, E. W. (Edward Windsor)",1861,1933
associatedWith,"Kennelly, Barabara B.",,
associatedWith,"Kern, Jerome",1885,1945
associatedWith,"King, Grace Elizabeth",1852,1932
associatedWith,"Kingsley, Charles",1819,1875
associatedWith,"Kipling, Rudyard",1865,1936
correspondedWith,"Kling, Flora Gardner.",,
associatedWith,"Knight, William Angus",1836,1916
associatedWith,"Kornfeld, Robert.",,
associatedWith,"Kredel, Fritz",1900,1973
associatedWith,"Lagowitz, Harriet L., fl",1877,1890
associatedWith,"Lamont, Frances Kent",1899,1975
associatedWith,"Lampton, Kate C., b. 1856,",,
associatedWith,"Landon, Harold M., Mrs,",,
associatedWith,"Landon, Melville D. (Melville De Lancey)",1839,1910
associatedWith,"Langdon, Charles Jervis",1849,1916
associatedWith,"Langdon, Ida",1880,1964
associatedWith,"Langdon, Jervis,",,
associatedWith,"Langdon, Livy.",,
associatedWith,"Langdon, Olivia Lewis",1810,1890
associatedWith,"Langford, Nettie Clemens, 1896-",,
associatedWith,"Lark, Charles Tressler",1876,1946
associatedWith,"Larkin, J. E. (John Edward)",1836,1924
associatedWith,"Larned, J. N. (Josephus Nelson)",1836,1913
associatedWith,"Lathrop, George Parsons",1851,1898
associatedWith,"Leacock, Stephen",1869,1944
associatedWith,"Leary, Lewis Gaston, 1906-",,
associatedWith,"Lee, Fitzhugh",1835,1905
associatedWith,"Lee, Henry.",,
associatedWith,"Leeming, Thomas L.,",,
associatedWith,Leonard Verbarg,,
associatedWith,"Leonard, Elizabeth F.",,
associatedWith,"Leslie, Elsie,",,
associatedWith,"Levy, Harriet Lane",,
associatedWith,"Levy, Helen F.,",,
associatedWith,"Lincoln, Abraham",1809,1865
associatedWith,"Lindau, Rudolf",1829,1910
associatedWith,"Lindegard, Axel.",,
associatedWith,"Lindenfeld, Harris.",,
associatedWith,"Lissauer, Arthur Wilmer,",,
associatedWith,"Littlewood, Walter, Mrs.",,
associatedWith,Livy Clements,,
associatedWith,"Lloyd, John William.",,
associatedWith,"Locke, David Ross",1833,1888
correspondedWith,"Long, E. B. (Everette Beach)",1919,1981
associatedWith,"Lopez, Barry",,
associatedWith,"Lorch, Fred W. (Frederick William)",1893,1967
associatedWith,"Loring, Rosamund B. (Rosamond Bowditch)",1889,1950
associatedWith,"Lounsbury, Thomas Raynesford",1838,1915
associatedWith,"Lucas, E. V. (Edward Verrall)",1868,1938
associatedWith,"Lyde, Elsie Leslie, (Mrs. Edwin Milliken)",1881,1966
associatedWith,"Lyon, Isabel",1863,1958
associatedWith,"Lyon, Isabel",1863,1958
associatedWith,"Lyon, Isael.",,
associatedWith,"Mabbott, Thomas Ollive",1898,1968
associatedWith,"MacAlister, John Young Walker, Sir",1856,1925
associatedWith,"Machen, Arthur",1863,1947
associatedWith,"Mack, Effie Mona.",,
associatedWith,"Mack, Florence,",,
associatedWith,"Mackintosh, Henry S., recipient.",,
correspondedWith,"Mann, Charmetta",,
associatedWith,"Mann, Charmetta",,
associatedWith,"Mansfield, Gideon M.",,
associatedWith,Marcus Alonzo Hanna,,
associatedWith,Mark Twain,,
associatedWith,"Markham, Edwin",1852,1940
correspondedWith,"Martin, Edward Sanford",1856,1939
associatedWith,"Mason, Caroline Atherton (Briggs)",1823,1890
associatedWith,"Matthews, Brander",1852,1929
associatedWith,"Mayo, Frank",1839,1896
associatedWith,"McClure, S. S. (Samuel Sidney)",1857,1949
associatedWith,"McCord, James H.",,
